
Nuestro resultado: 16  Kadane: 16
Nuestro resultado: 17  Kadane: 17
Nuestro resultado: 8  Kadane: 8
Nuestro resultado: 24  Kadane: 24
Nuestro resultado: 24  Kadane: 26
Nuestro resultado: 27  Kadane: 27
Nuestro resultado: 79  Kadane: 79
Nuestro resultado: 50  Kadane: 50
Nuestro resultado: 66  Kadane: 66
Nuestro resultado: 43  Kadane: 43
Nuestro resultado: 40  Kadane: 42
Nuestro resultado: 28  Kadane: 28
Nuestro resultado: 22  Kadane: 22
Nuestro resultado: 47  Kadane: 47
Nuestro resultado: 56  Kadane: 56
Nuestro resultado: 74  Kadane: 74
Nuestro resultado: 77  Kadane: 82
Nuestro resultado: 37  Kadane: 38
Nuestro resultado: 38  Kadane: 39
Nuestro resultado: 63  Kadane: 63
Nuestro resultado: 62  Kadane: 62
Nuestro resultado: 45  Kadane: 45
Nuestro resultado: 49  Kadane: 49
Nuestro resultado: 88  Kadane: 95
Nuestro resultado: 99  Kadane: 99
Nuestro resultado: 162  Kadane: 162
Nuestro resultado: 87  Kadane: 87
Nuestro resultado: 54  Kadane: 57
Nuestro resultado: 58  Kadane: 58
Nuestro resultado: 90  Kadane: 90
Nuestro resultado: 83  Kadane: 83
Nuestro resultado: 75  Kadane: 75
Nuestro resultado: 64  Kadane: 64
Nuestro resultado: 136  Kadane: 136
Nuestro resultado: 74  Kadane: 74
Nuestro resultado: 73  Kadane: 73
Nuestro resultado: 223  Kadane: 223
Nuestro resultado: 123  Kadane: 124
Nuestro resultado: 55  Kadane: 55
Nuestro resultado: 68  Kadane: 68
Nuestro resultado: 75  Kadane: 75
Nuestro resultado: 106  Kadane: 106
Nuestro resultado: 181  Kadane: 181
Nuestro resultado: 131  Kadane: 131
Nuestro resultado: 95  Kadane: 95
Nuestro resultado: 118  Kadane: 118
Nuestro resultado: 51  Kadane: 51
Nuestro resultado: 115  Kadane: 115
Nuestro resultado: 110  Kadane: 110
Nuestro resultado: 179  Kadane: 180
Nuestro resultado: 93  Kadane: 93
Nuestro resultado: 46  Kadane: 49
Nuestro resultado: 174  Kadane: 174
Nuestro resultado: 145  Kadane: 145
Nuestro resultado: 56  Kadane: 56
Nuestro resultado: 121  Kadane: 121
Nuestro resultado: 78  Kadane: 78
Nuestro resultado: 61  Kadane: 61
Nuestro resultado: 138  Kadane: 138
Nuestro resultado: 139  Kadane: 139
Nuestro resultado: 205  Kadane: 205
Nuestro resultado: 95  Kadane: 95
Nuestro resultado: 187  Kadane: 187
Nuestro resultado: 84  Kadane: 84
Nuestro resultado: 83  Kadane: 83
Nuestro resultado: 160  Kadane: 160
Nuestro resultado: 76  Kadane: 76
Nuestro resultado: 96  Kadane: 96
Nuestro resultado: 246  Kadane: 248
Nuestro resultado: 284  Kadane: 286
Nuestro resultado: 91  Kadane: 91
Nuestro resultado: 250  Kadane: 250
Nuestro resultado: 189  Kadane: 189
Nuestro resultado: 103  Kadane: 103
Nuestro resultado: 218  Kadane: 218
Nuestro resultado: 75  Kadane: 75
Nuestro resultado: 134  Kadane: 134
Nuestro resultado: 74  Kadane: 74
Nuestro resultado: 154  Kadane: 154
Nuestro resultado: 118  Kadane: 118
Nuestro resultado: 136  Kadane: 136
Nuestro resultado: 117  Kadane: 117
Nuestro resultado: 217  Kadane: 217
Nuestro resultado: 144  Kadane: 144
Nuestro resultado: 184  Kadane: 184
Nuestro resultado: 152  Kadane: 152
Nuestro resultado: 98  Kadane: 98
Nuestro resultado: 93  Kadane: 93
Nuestro resultado: 252  Kadane: 252
Nuestro resultado: 124  Kadane: 124
Nuestro resultado: 204  Kadane: 204
Nuestro resultado: 122  Kadane: 122
Nuestro resultado: 86  Kadane: 86
Nuestro resultado: 149  Kadane: 149
Nuestro resultado: 206  Kadane: 206
Nuestro resultado: 229  Kadane: 229
Nuestro resultado: 184  Kadane: 184
Nuestro resultado: 148  Kadane: 148
Nuestro resultado: 71  Kadane: 71
Nuestro resultado: 112  Kadane: 112
